品番,SKU品番,カラーコード,サイズコード,商品名,販売計画No,開始日時,終了日時,ステータス,価格（%）,プランアイコンID1,プランアイコンID2,プランアイコンID3,発送予定日
cr25aw11169P,cr25aw11169-09-021,09,02,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw11169P,cr25aw11169-09-021,09,02,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw11169P,cr25aw11169-09-021,09,02,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw11169P,cr25aw11169-09-021,09,02,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw11169P,cr25aw11169-09-031,09,03,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw11169P,cr25aw11169-09-031,09,03,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw11169P,cr25aw11169-09-031,09,03,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw11169P,cr25aw11169-09-031,09,03,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw11169P,cr25aw11169-09-031,09,03,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw11169P,cr25aw11169-09-661,09,66,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw11169P,cr25aw11169-09-661,09,66,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw11169P,cr25aw11169-09-661,09,66,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",2,,,,,,,,
cr25aw11169P,cr25aw11169-09-661,09,66,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",3,,,,,,,,
cr25aw11169P,cr25aw11169-09-661,09,66,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",4,,,,,,,,
cr25aw11169P,cr25aw11169-06-011,06,01,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,,,
cr25aw11169P,cr25aw11169-06-011,06,01,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",1,,,,,,,,
cr25aw11169P,cr25aw11169-06-011,06,01,"ギャバフリースウォームスラックス 受注期間 - 11/17 23:59",2,,,,,,,,
