品番,サイズコード,"サイズ（ / 区切り）",商品名
cr25aw19148,03,97cm/約66.5cm～84cm/110cm/110cm/58cm,テンセルコットンピケIラインスカート
cr25aw11149,00,/94cm/約61cm～71cm/88cm/61.5cm/27.5cm/65cm,アジャスタブルIラインデニムパンツ
cr25aw11149,01,/97cm/約64cm～74cm/92cm/63cm/28.5cm/67cm,アジャスタブルIラインデニムパンツ
cr25aw11149,02,/100cm/約67cm～77cm/96cm/64cm/29.5cm/69cm,アジャスタブルIラインデニムパンツ
cr25aw11149,03,/104cm/約70cm～80cm/100cm/65.5cm/30.5cm/72cm,アジャスタブルIラインデニムパンツ
cr25aw11149,66,/109cm/約70cm～80cm/100cm/65.5cm/32.5cm/75cm,アジャスタブルIラインデニムパンツ
cr25aw09150,99,49cm/88cm/22cm/22cm/21cm/25cm/74cm,2wayウールカシミアニットビスチェ
cr25aw06144,01,73.5cm/48cm/116.5cm/54cm/46cm/20.5cm～24cm/119cm,テンセルコットンピケミニマルシャツ
cr25aw06144,02,75.5cm/49cm/119.5cm/56cm/47cm/21.5cm～25cm/122cm,テンセルコットンピケミニマルシャツ
cr25aw06144,03,77.5cm/50cm/122.5cm/58cm/48cm/21.5cm～25cm/125cm,テンセルコットンピケミニマルシャツ
cr25aw08146,01,51cm/57cm/62cm/116cm/27cm/6.5cm/5cm/45cm/41cm/20cm/96cm,2wayラフインレーボートネックロンT
cr25aw08146,02,53cm/59cm/63cm/120cm/28cm/6.5cm/5cm/46.5cm/42cm/20cm/100cm,2wayラフインレーボートネックロンT
cr25aw08146,03,55cm/61cm/64cm/124cm/29cm/6.5cm/5cm/48cm/43cm/20cm/104cm,2wayラフインレーボートネックロンT
cr25aw07142,01,56cm/39.5cm/89cm/19.5cm/9cm/25.5cm/35cm/27cm/90cm,シアーベロアクルーネックT
cr25aw07142,02,58cm/40.5cm/92cm/20cm/9.5cm/26.5cm/36cm/28cm/93cm,シアーベロアクルーネックT
cr25aw07142,03,60cm/41.5cm/95cm/20.5cm/10cm/27.5cm/37cm/29cm/96cm,シアーベロアクルーネックT
cr25ss06128,01,122cm/92cm/17.5cm/34cm/139cm,イージーラップマキシワンピース
cr25ss06128,02,126cm/94m/17.5cm/35cm/142cm,イージーラップマキシワンピース
cr25ss06128,03,130cm/96cm/17.5cm/36cm/145cm,イージーラップマキシワンピース
cr25ss11130,01,95.5cm/約64cm～71.5cm/103cm/66cm/55cm/30.5cm/65cm/4cm,ウォーターリペレントスラックス
