"ä˙ä‘","çwì¸åèêî","íjê´","èóê´","íjê´(âÔàı)","íjê´(îÒâÔàı)","èóê´(âÔàı)","èóê´(îÒâÔàı)","çwì¸çáåv","çwì¸ïΩãœ"
"2023-12-28","0","0","0","0","0","0","0","0","0"
"2023-12-29","0","0","0","0","0","0","0","0","0"
"2023-12-30","0","0","0","0","0","0","0","0","0"
"2023-12-31","0","0","0","0","0","0","0","0","0"
"2024-01-01","0","0","0","0","0","0","0","0","0"
"2024-01-02","1","0","1","0","0","1","0","15920","15920.0000"
"2024-01-03","0","0","0","0","0","0","0","0","0"
"2024-01-04","0","0","0","0","0","0","0","0","0"
"2024-01-05","0","0","0","0","0","0","0","0","0"
"2024-01-06","8","0","3","0","0","3","0","154420","19302.5000"
"2024-01-07","1","0","0","0","0","0","0","8000","8000.0000"
"2024-01-08","1","0","0","0","0","0","0","8000","8000.0000"
"2024-01-09","2","0","1","0","0","1","0","22600","11300.0000"
"2024-01-10","0","0","0","0","0","0","0","0","0"
"2024-01-11","0","0","0","0","0","0","0","0","0"
"2024-01-12","0","0","0","0","0","0","0","0","0"
"2024-01-13","0","0","0","0","0","0","0","0","0"
"2024-01-14","1","0","0","0","0","0","0","8000","8000.0000"
"2024-01-15","1","0","0","0","0","0","0","8000","8000.0000"
"2024-01-16","0","0","0","0","0","0","0","0","0"
"2024-01-17","0","0","0","0","0","0","0","0","0"
"2024-01-18","1","0","0","0","0","0","0","0","0.0000"
"2024-01-19","0","0","0","0","0","0","0","0","0"
"2024-01-20","0","0","0","0","0","0","0","0","0"
"2024-01-21","0","0","0","0","0","0","0","0","0"
"2024-01-22","1","0","0","0","0","0","0","8220","8220.0000"
"2024-01-23","0","0","0","0","0","0","0","0","0"
"2024-01-24","1","0","1","0","0","1","0","8000","8000.0000"
"2024-01-25","3","0","0","0","0","0","0","47020","15673.3333"
"2024-01-26","0","0","0","0","0","0","0","0","0"
"2024-01-27","0","0","0","0","0","0","0","0","0"
"2024-01-28","0","0","0","0","0","0","0","0","0"
"2024-01-29","0","0","0","0","0","0","0","0","0"
"2024-01-30","0","0","0","0","0","0","0","0","0"
"2024-01-31","0","0","0","0","0","0","0","0","0"
"2024-02-01","0","0","0","0","0","0","0","0","0"
"2024-02-02","0","0","0","0","0","0","0","0","0"
"2024-02-03","0","0","0","0","0","0","0","0","0"
"2024-02-04","0","0","0","0","0","0","0","0","0"
"2024-02-05","0","0","0","0","0","0","0","0","0"
"2024-02-06","0","0","0","0","0","0","0","0","0"
"2024-02-07","0","0","0","0","0","0","0","0","0"
"2024-02-08","0","0","0","0","0","0","0","0","0"
"2024-02-09","0","0","0","0","0","0","0","0","0"
"2024-02-10","1","0","1","0","0","1","0","8000","8000.0000"
"2024-02-11","0","0","0","0","0","0","0","0","0"
"2024-02-12","1","0","0","0","0","0","0","8000","8000.0000"
"2024-02-13","0","0","0","0","0","0","0","0","0"
"2024-02-14","1","0","1","0","0","1","0","8000","8000.0000"
"2024-02-15","0","0","0","0","0","0","0","0","0"
"2024-02-16","0","0","0","0","0","0","0","0","0"
"2024-02-17","0","0","0","0","0","0","0","0","0"
"2024-02-18","0","0","0","0","0","0","0","0","0"
"2024-02-19","0","0","0","0","0","0","0","0","0"
"2024-02-20","0","0","0","0","0","0","0","0","0"
"2024-02-21","1","0","0","0","0","0","0","8000","8000.0000"
"2024-02-22","1","0","0","0","0","0","0","8000","8000.0000"
"2024-02-23","0","0","0","0","0","0","0","0","0"
"2024-02-24","0","0","0","0","0","0","0","0","0"
"2024-02-25","0","0","0","0","0","0","0","0","0"
"2024-02-26","1","0","1","0","0","1","0","8000","8000.0000"
"2024-02-27","0","0","0","0","0","0","0","0","0"
"2024-02-28","0","0","0","0","0","0","0","0","0"
"2024-02-29","0","0","0","0","0","0","0","0","0"
"2024-03-01","0","0","0","0","0","0","0","0","0"
"2024-03-02","4530","23","2533","23","0","2533","0","55182440","12181.5541"
"2024-03-03","50","0","16","0","0","16","0","674560","13491.2000"
"2024-03-04","2","0","0","0","0","0","0","28540","14270.0000"
"2024-03-05","3","0","0","0","0","0","0","42810","14270.0000"
"2024-03-06","50","0","20","0","0","20","0","512530","10250.6000"
"2024-03-07","5","0","1","0","0","1","0","71350","14270.0000"
"2024-03-08","1","0","0","0","0","0","0","14270","14270.0000"
"2024-03-09","954","1","434","1","0","434","0","6995760","7333.0818"
"2024-03-10","247","0","73","0","0","73","0","1801210","7292.3482"
"2024-03-11","27","0","9","0","0","9","0","197110","7300.3704"
"2024-03-12","9","0","4","0","0","4","0","36370","4041.1111"
"2024-03-13","22","0","9","0","0","9","0","134780","6126.3636"
"2024-03-14","13","0","2","0","0","2","0","85410","6570.0000"
"2024-03-15","12","0","0","0","0","0","0","81700","6808.3333"
"2024-03-16","153","0","69","0","0","69","0","2046140","13373.4641"
"2024-03-17","13","0","4","0","0","4","0","108950","8380.7692"
"2024-03-18","26","0","12","0","0","12","0","231790","8915.0000"
"2024-03-19","6","0","3","0","0","3","0","39750","6625.0000"
"2024-03-20","10","0","6","0","0","6","0","131480","13148.0000"
"2024-03-21","7","0","1","0","0","1","0","74810","10687.1429"
"2024-03-22","56","0","19","0","0","19","0","686840","12265.0000"
"2024-03-23","5","0","2","0","0","2","0","52540","10508.0000"
"2024-03-24","1","0","0","0","0","0","0","14270","14270.0000"
"2024-03-25","1","0","0","0","0","0","0","8000","8000.0000"
"2024-03-26","2","0","0","0","0","0","0","28540","14270.0000"
"2024-03-27","5","0","0","0","0","0","0","65080","13016.0000"
"2024-03-28","3","0","2","0","0","2","0","28540","9513.3333"
"2024-03-29","2","0","2","0","0","2","0","14270","7135.0000"
"2024-03-30","1","0","0","0","0","0","0","0","0.0000"
"2024-03-31","4","0","0","0","0","0","0","47400","11850.0000"
"2024-04-01","1","0","0","0","0","0","0","14270","14270.0000"
"2024-04-02","1","0","0","0","0","0","0","4590","4590.0000"
"2024-04-03","4","0","1","0","0","1","0","37940","9485.0000"
"2024-04-04","5","0","0","0","0","0","0","36920","7384.0000"
"2024-04-05","6","0","3","0","0","3","0","27760","4626.6667"
"2024-04-06","5","0","2","0","0","2","0","27240","5448.0000"
"2024-04-07","2","0","0","0","0","0","0","17980","8990.0000"
"2024-04-08","6","0","2","0","0","2","0","37220","6203.3333"
"2024-04-09","3","0","0","0","0","0","0","23670","7890.0000"
